ts,item_no,item,op,target,expected,actual,pass
08:48:46,40,Up&Go Chocolate Protein 500Ml,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:48:47,40,Up&Go Chocolate Protein 500Ml,update_single_price:woolworths,row40,wrote 36.7,wrote=True err=,PASS
08:48:47,41,Daily Juice Orange Pulp 500ml,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:48:47,41,Daily Juice Orange Pulp 500ml,update_single_price:coles,row41,wrote 18.11,wrote=True err=,PASS
08:48:47,42,Jumpy's Chicken Potato Chips 5 pack,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:48:48,42,Jumpy's Chicken Potato Chips 5 pack,update_single_price:woolworths,row42,wrote 39.54,wrote=True err=,PASS
08:48:48,43,Cheese Puff Pastry,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:48:48,43,Cheese Puff Pastry,update_single_price:coles,row43,wrote 9.76,wrote=True err=,PASS
08:48:48,44,Jumpy's Chicken Multipack,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:48:49,44,Jumpy's Chicken Multipack,update_single_price:woolworths,row44,wrote 4.18,wrote=True err=,PASS
08:48:49,45,Hillview Cheese Slice,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:48:49,45,Hillview Cheese Slice,update_single_price:coles,row45,wrote 17.72,wrote=True err=,PASS
08:48:49,46,Wonder White Bread,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:48:50,46,Wonder White Bread,update_single_price:woolworths,row46,wrote 9.76,wrote=True err=,PASS
08:49:02,47,Raw Sugar 3Kg,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:49:03,47,Raw Sugar 3Kg,update_single_price:coles,row47,wrote 36.76,wrote=True err=,PASS
08:49:03,48,Up&Go Strawberry 3*250ml,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:49:03,48,Up&Go Strawberry 3*250ml,update_single_price:woolworths,row48,wrote 4.04,wrote=True err=,PASS
08:49:03,49,Royal Gala Apple 1 Kg,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:49:04,49,Royal Gala Apple 1 Kg,update_single_price:coles,row49,wrote 25.96,wrote=True err=,PASS
08:49:04,50,the Juice Brothers Tropical,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:49:04,50,the Juice Brothers Tropical,update_single_price:woolworths,row50,wrote 4.89,wrote=True err=,PASS
08:49:04,51,Weet Bix Kids,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:49:05,51,Weet Bix Kids,update_single_price:coles,row51,wrote 33.71,wrote=True err=,PASS
08:49:05,52,Kettle Chilli 165G,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:49:05,52,Kettle Chilli 165G,update_single_price:woolworths,row52,wrote 30.16,wrote=True err=,PASS
08:49:05,53,Sunbites Sour Cream Mulipack,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:49:06,53,Sunbites Sour Cream Mulipack,update_single_price:coles,row53,wrote 10.92,wrote=True err=,PASS
08:49:06,54,Mr Kipling Choc 6 Pk,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:49:07,54,Mr Kipling Choc 6 Pk,update_single_price:woolworths,row54,wrote 23.54,wrote=True err=,PASS
08:49:30,55,Chocolate Hazelnut Spread,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:49:30,55,Chocolate Hazelnut Spread,update_single_price:coles,row55,wrote 11.31,wrote=True err=,PASS
08:49:30,56,Eggs Free Rage 12Pc,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:49:31,56,Eggs Free Rage 12Pc,update_single_price:woolworths,row56,wrote 29.92,wrote=True err=,PASS
08:49:31,57,Farmer Union Greek Yoghurt 1Kg,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:49:32,57,Farmer Union Greek Yoghurt 1Kg,update_single_price:coles,row57,wrote 16.01,wrote=True err=,PASS
08:49:32,58,Blueberries,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:49:32,58,Blueberries,update_single_price:woolworths,row58,wrote 40.36,wrote=True err=,PASS
08:49:32,59,Mccain Jalepeno,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:49:33,59,Mccain Jalepeno,update_single_price:coles,row59,wrote 21.23,wrote=True err=,PASS
08:49:33,60,Sunny Queen Free Range 12 Pk,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:49:33,60,Sunny Queen Free Range 12 Pk,update_single_price:woolworths,row60,wrote 22.91,wrote=True err=,PASS
08:49:33,61,Twisted Chocolate Icecream,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:49:34,61,Twisted Chocolate Icecream,update_single_price:coles,row61,wrote 33.41,wrote=True err=,PASS
08:49:44,62,Radiant Advanced Ultra Powder+,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:49:45,62,Radiant Advanced Ultra Powder+,update_single_price:woolworths,row62,wrote 26.04,wrote=True err=,PASS
08:49:45,63,Strawberries,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:49:45,63,Strawberries,update_single_price:coles,row63,wrote 8.14,wrote=True err=,PASS
08:49:45,64,Raspberries Punnet 125g,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:49:46,64,Raspberries Punnet 125g,update_single_price:woolworths,row64,wrote 35.8,wrote=True err=,PASS
08:49:46,65,Extra Spearmint Chewing Multipack,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:49:46,65,Extra Spearmint Chewing Multipack,update_single_price:coles,row65,wrote 19.15,wrote=True err=,PASS
08:49:46,66,Sunbites Grain Waves Sour Cream & Chives 22g x 8 pack,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:49:47,66,Sunbites Grain Waves Sour Cream & Chives 22g x 8 pack,update_single_price:woolworths,row53,wrote 5.32,wrote=True err=,PASS
08:49:47,67,Smith Cheese & Onion Multipack 8,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:49:47,67,Smith Cheese & Onion Multipack 8,update_single_price:coles,row67,wrote 40.24,wrote=True err=,PASS
08:49:47,68,V Watermelon 4*250,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:49:48,68,V Watermelon 4*250,update_single_price:woolworths,row68,wrote 28.4,wrote=True err=,PASS
08:49:48,69,V Sugarfree 4*250,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:49:49,69,V Sugarfree 4*250,update_single_price:coles,row69,wrote 40.31,wrote=True err=,PASS
08:49:49,70,David Beckham Instinct,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:49:49,70,David Beckham Instinct,update_single_price:woolworths,row70,wrote 37.34,wrote=True err=,PASS
08:49:59,71,Greek Salad Kit 400g,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:50:00,71,Greek Salad Kit 400g,update_single_price:coles,row71,wrote 31.28,wrote=True err=,PASS
08:50:00,72,Tegel Nashville Tenders 500g,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:50:00,72,Tegel Nashville Tenders 500g,update_single_price:woolworths,row72,wrote 16.08,wrote=True err=,PASS
08:50:16,73,Obela Hommus 3Pk 60g,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:50:17,73,Obela Hommus 3Pk 60g,update_single_price:coles,row73,wrote 25.89,wrote=True err=,PASS
08:50:17,74,Freshen Up Spray,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:50:17,74,Freshen Up Spray,update_single_price:woolworths,row74,wrote 27.08,wrote=True err=,PASS
08:50:17,75,Greek Salad Kit 270g,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:50:18,75,Greek Salad Kit 270g,update_single_price:coles,row75,wrote 3.96,wrote=True err=,PASS
08:50:27,76,Steggles Korean Tenders 600g,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:50:27,76,Steggles Korean Tenders 600g,update_single_price:woolworths,row76,wrote 24.73,wrote=True err=,PASS
08:50:40,77,Steggles Habanero Wings 1Kg,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:50:40,77,Steggles Habanero Wings 1Kg,update_single_price:coles,row77,wrote 26.69,wrote=True err=,PASS
08:50:40,78,Woolworths Beef Mince 500g,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:50:41,78,Woolworths Beef Mince 500g,update_single_price:woolworths,row78,wrote 5.93,wrote=True err=,PASS
08:50:54,79,Yumi's Herb Falafel 200g,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:50:54,79,Yumi's Herb Falafel 200g,update_single_price:coles,row79,wrote 21.95,wrote=True err=,PASS
08:50:54,80,Carman's Apple & Blueberry Fruit Straps 5 pack,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:50:55,80,Carman's Apple & Blueberry Fruit Straps 5 pack,update_single_price:woolworths,row80,wrote 16.22,wrote=True err=,PASS
08:51:09,81,Woolworths Greek Style Fetta 200g,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:51:10,81,Woolworths Greek Style Fetta 200g,update_single_price:coles,row81,wrote 33.77,wrote=True err=,PASS
08:51:19,82,Tamar Valley Dairy Yoghurt Mango & Cream 170g,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:51:19,82,Tamar Valley Dairy Yoghurt Mango & Cream 170g,update_single_price:woolworths,row82,wrote 7.19,wrote=True err=,PASS
08:51:32,83,Farmers Union Greek Style High Protein Yoghurt Pouch Mango 1,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:51:33,83,Farmers Union Greek Style High Protein Yoghurt Pouch Mango 1,update_single_price:coles,row83,wrote 35.29,wrote=True err=,PASS
08:51:41,84,Tamar Valley Dairy Yoghurt Mango & Cream 700g,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:51:41,84,Tamar Valley Dairy Yoghurt Mango & Cream 700g,update_single_price:woolworths,row84,wrote 16.47,wrote=True err=,PASS
08:52:24,85,Tegel Take Outs Nashville Style Chicken Burgers 600g,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:52:25,85,Tegel Take Outs Nashville Style Chicken Burgers 600g,update_single_price:coles,row85,wrote 24.06,wrote=True err=,PASS
08:53:13,86,Birds Eye Golden Crunch Thin & Crispy Chips 900g,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:53:14,86,Birds Eye Golden Crunch Thin & Crispy Chips 900g,update_single_price:woolworths,row86,wrote 3.98,wrote=True err=,PASS
08:53:39,87,V Energy Zero Sugar Drink Blackcurrant & Yuzu 250mL,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:53:39,87,V Energy Zero Sugar Drink Blackcurrant & Yuzu 250mL,update_single_price:coles,row87,wrote 6.21,wrote=True err=,PASS
